symbol,name,nifty200_member,model_version,historical_bar_count,start_date,end_date,signal_count,target_count,stop_count,status
YESBANK,YESBANK Limited,NIFTY_200,202609090815,738,2021-09-09,2024-09-06,0,,,V22_CONDITION_NOT_MET
ADANIENSOL,ADANIENSOL Limited,NIFTY_200,202609091046,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
ADANIENT,ADANIENT Limited,NIFTY_200,202609091046,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
ADANIGREEN,ADANIGREEN Limited,NIFTY_200,202609091049,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
LTIM,LTIM Limited,NIFTY_200,,0,,,0,,,NO_HISTORICAL_DATA
AUROPHARMA,AUROPHARMA Limited,NIFTY_200,202609091049,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
AXISBANK,AXISBANK Limited,NIFTY_200,202609091046,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BAJAJ-AUTO,BAJAJ-AUTO Limited,NIFTY_200,202609090842,249,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BAJAJFINSV,BAJAJFINSV Limited,NIFTY_200,202609091048,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BAJAJHLDNG,BAJAJHLDNG Limited,NIFTY_200,202609091049,988,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BALKRISIND,BALKRISIND Limited,NIFTY_200,202609091046,988,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BANDHANBNK,BANDHANBNK Limited,NIFTY_200,202609091048,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BANKBARODA,BANKBARODA Limited,NIFTY_200,202609091046,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BANKINDIA,BANKINDIA Limited,NIFTY_200,202609091046,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BATAINDIA,BATAINDIA Limited,NIFTY_200,202609091047,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BEL,BEL Limited,NIFTY_200,202609090842,249,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BERGEPAINT,BERGEPAINT Limited,NIFTY_200,202609091046,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BHARATFORG,BHARATFORG Limited,NIFTY_200,202609091048,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BHARTIARTL,BHARTIARTL Limited,NIFTY_200,202609091048,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BHEL,BHEL Limited,NIFTY_200,202609091045,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BIOCON,BIOCON Limited,NIFTY_200,202609091045,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
BLUEDART,BLUEDART Limited,NIFTY_200,202609091047,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BPCL,BPCL Limited,NIFTY_200,202609091047,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
BRITANNIA,BRITANNIA Limited,NIFTY_200,202609091046,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
CANBK,CANBK Limited,NIFTY_200,202609091046,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
CGPOWER,CGPOWER Limited,NIFTY_200,202609091046,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
CHAMBLFERT,CHAMBLFERT Limited,NIFTY_200,202609091048,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
CHOLAFIN,CHOLAFIN Limited,NIFTY_200,202609091048,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
CIPLA,CIPLA Limited,NIFTY_200,202609091046,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
COALINDIA,COALINDIA Limited,NIFTY_200,202609091048,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
COFORGE,COFORGE Limited,NIFTY_200,202609091048,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
COLPAL,COLPAL Limited,NIFTY_200,202609090843,252,2025-09-08,2026-09-08,0,,,V22_CONDITION_NOT_MET
CONCOR,CONCOR Limited,NIFTY_200,202609091049,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
CROMPTON,CROMPTON Limited,NIFTY_200,202609090843,249,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
CUMMINSIND,CUMMINSIND Limited,NIFTY_200,202609091048,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
DABUR,DABUR Limited,NIFTY_200,202609091049,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
DALBHARAT,DALBHARAT Limited,NIFTY_200,202609091049,988,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
DEEPAKNTR,DEEPAKNTR Limited,NIFTY_200,202609090843,249,2024-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
DELHIVERY,DELHIVERY Limited,NIFTY_200,202609090843,251,2025-09-08,2026-09-08,0,,,V22_CONDITION_NOT_MET
DIVISLAB,DIVISLAB Limited,NIFTY_200,202609091047,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
DIXON,DIXON Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
ASIANPAINT,ASIANPAINT Limited,NIFTY_200,202609091047,990,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
DLF,DLF Limited,NIFTY_200,,249,2024-09-09,2026-09-09,0,,,MODEL_UNAVAILABLE
DRREDDY,DRREDDY Limited,NIFTY_200,,252,2025-09-08,2026-09-08,0,,,MODEL_UNAVAILABLE
ESCORTS,ESCORTS Limited,NIFTY_200,202609090844,989,2021-09-09,2026-09-08,0,,,V22_CONDITION_NOT_MET
EXIDEIND,EXIDEIND Limited,NIFTY_200,202609090844,987,2021-09-09,2026-09-09,0,,,V22_CONDITION_NOT_MET
