symbol,index_membership,sector,industry,model_name,model_version,record_count,first_date,last_date,signal_count,champion_model_available,historical_data_available,eligibility,actually_scanned
DIXON,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
ASIANPAINT,NIFTY_200,,,ASIANPAINT_rf_202609091047.joblib,202609091047,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
DLF,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
DRREDDY,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
ESCORTS,NIFTY_200,,,ESCORTS_rf_202609090844.joblib,202609090844,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
EXIDEIND,NIFTY_200,,,EXIDEIND_rf_202609090844.joblib,202609090844,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
HEROMOTOCO,NIFTY_200,,,HEROMOTOCO_rf_202609090844.joblib,202609090844,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
FORTIS,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
GAIL,NIFTY_200,,,GAIL_rf_202609091046.joblib,202609091046,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ATGL,NIFTY_200,,,ATGL_rf_202609091047.joblib,202609091047,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
GLENMARK,NIFTY_200,,,GLENMARK_rf_202609090844.joblib,202609090844,250.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
GMRINFRA,NIFTY_200,,,GMRINFRA_rf_202609091047.joblib,202609091047,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
GODREJPROP,NIFTY_200,,,GODREJPROP_rf_202609091049.joblib,202609091049,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ASTRAL,NIFTY_200,,,,,250.0,2025-09-08,2026-09-04,0,False,True,MODEL_UNAVAILABLE,False
ASHOKLEY,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
GRASIM,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
HAL,NIFTY_200,,,HAL_rf_202609090844.joblib,202609090844,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
HAVELLS,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
HCLTECH,NIFTY_200,,,HCLTECH_rf_202609090844.joblib,202609090844,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
HDFCBANK,NIFTY_200,,,HDFCBANK_rf_202609090641.joblib,202609090641,249.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
HDFCLIFE,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
HINDALCO,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
HINDCOPPER,NIFTY_200,,,HINDCOPPER_rf_202609090845.joblib,202609090845,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
HINDPETRO,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
HINDUNILVR,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
HUDCO,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
ICICIBANK,NIFTY_200,,,ICICIBANK_rf_202609090641.joblib,202609090641,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
ICICIGI,NIFTY_200,,,ICICIGI_rf_202609090845.joblib,202609090845,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
ICICIPRULI,NIFTY_200,,,,,251.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
IDBI,NIFTY_200,,,IDBI_rf_202609090845.joblib,202609090845,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
IDFCFIRSTB,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
IGL,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
INDHOTEL,NIFTY_200,,,,,252.0,2025-09-08,2026-09-08,0,False,True,MODEL_UNAVAILABLE,False
INDIAMART,NIFTY_200,,,,,249.0,2024-09-09,2026-09-09,0,False,True,MODEL_UNAVAILABLE,False
