symbol,name,sector,index_membership,model_name,record_count,first_date,last_date,champion_model_available,historical_data_available,V22_eligible
JUBLFOOD,JUBLFOOD Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
KALYANKJIL,KALYANKJIL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
KARURVYSYA,KARURVYSYA Limited,,NIFTY_200,KARURVYSYA_rf_202609090846.joblib,989,2021-09-09,2026-09-07,True,True,ELIGIBLE
KEI,KEI Limited,,NIFTY_200,KEI_rf_202609090846.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
KOTAKBANK,KOTAKBANK Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
KPITTECH,KPITTECH Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
L&TFH,L&TFH Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
LICHSGFIN,LICHSGFIN Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
LICI,LICI Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
LT,LT Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
LUPIN,LUPIN Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
M&M,M&M Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
M&MFIN,M&MFIN Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MANAPPURAM,MANAPPURAM Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MARICO,MARICO Limited,,NIFTY_200,MARICO_rf_202609090846.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
MAZDOCK,MAZDOCK Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MFSL,MFSL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
MGL,MGL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
MPHASIS,MPHASIS Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MRF,MRF Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
NATIONALUM,NATIONALUM Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
NAVINFLUOR,NAVINFLUOR Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
NESTLEIND,NESTLEIND Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
NHPC,NHPC Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
NMDC,NMDC Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
NTPC,NTPC Limited,,NIFTY_200,NTPC_rf_202609090847.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
NYKAA,NYKAA Limited,,NIFTY_200,NYKAA_rf_202609090847.joblib,946,2021-11-10,2026-09-09,True,True,ELIGIBLE
OBEROIRLTY,OBEROIRLTY Limited,,NIFTY_200,OBEROIRLTY_rf_202609090847.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
OIL,OIL Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
ONGC,ONGC Limited,,NIFTY_200,ONGC_rf_202609090847.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
PAGEIND,PAGEIND Limited,,NIFTY_200,,250,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PATANJALI,PATANJALI Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PEL,PEL Limited,,NIFTY_200,,211,2025-11-07,2026-09-08,False,True,MODEL_UNAVAILABLE
PERSISTENT,PERSISTENT Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PETRONET,PETRONET Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PFC,PFC Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PHOENIXLTD,PHOENIXLTD Limited,,NIFTY_200,PHOENIXLTD_rf_202609090847.joblib,987,2021-09-09,2026-09-07,True,True,ELIGIBLE
PIDILITIND,PIDILITIND Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PIIND,PIIND Limited,,NIFTY_200,PIIND_rf_202609090847.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
PNB,PNB Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
POLYCAB,POLYCAB Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
POONAWALLA,POONAWALLA Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
PRESTIGE,PRESTIGE Limited,,NIFTY_200,PRESTIGE_rf_202609090847.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
PVRINOX,PVRINOX Limited,,NIFTY_200,PVRINOX_rf_202609090847.joblib,986,2021-09-09,2026-09-09,True,True,ELIGIBLE
RADICO,RADICO Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
RECLTD,RECLTD Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
RELIANCE,RELIANCE Limited,,NIFTY_200,RELIANCE_rf_202609090641.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
RVNL,RVNL Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SAIL,SAIL Limited,,NIFTY_200,SAIL_rf_202609090848.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
SBICARD,SBICARD Limited,,NIFTY_200,SBICARD_rf_202609090848.joblib,989,2021-09-09,2026-09-08,True,True,ELIGIBLE
SBILIFE,SBILIFE Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
SBIN,SBIN Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SHREECEM,SHREECEM Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
SHRIRAMFIN,SHRIRAMFIN Limited,,NIFTY_200,SHRIRAMFIN_rf_202609090848.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
SJVN,SJVN Limited,,NIFTY_200,SJVN_rf_202609090848.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
SKFINDIA,SKFINDIA Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SONACOMS,SONACOMS Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
SRF,SRF Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
SUNPHARMA,SUNPHARMA Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SUNTV,SUNTV Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SUPREMEIND,SUPREMEIND Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
SUZLON,SUZLON Limited,,NIFTY_200,SUZLON_rf_202609090848.joblib,987,2021-09-09,2026-09-09,True,True,ELIGIBLE
SYNGENE,SYNGENE Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
TATACOMM,TATACOMM Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TATAELXSI,TATAELXSI Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TATAMOTORS,TATAMOTORS Limited,,NIFTY_200,,208,2025-11-12,2026-09-08,False,True,MODEL_UNAVAILABLE
TATAPOWER,TATAPOWER Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
TATASTEEL,TATASTEEL Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
EICHERMOT,EICHERMOT Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
FEDERALBNK,FEDERALBNK Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
GODREJCP,GODREJCP Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
HINDZINC,HINDZINC Limited,,NIFTY_200,HINDZINC_rf_202609090848.joblib,990,2021-09-09,2026-09-08,True,True,ELIGIBLE
INDUSINDBK,INDUSINDBK Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
KANSAINER,KANSAINER Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
MAHABANK,MAHABANK Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MARUTI,MARUTI Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
MUTHOOTFIN,MUTHOOTFIN Limited,,NIFTY_200,,252,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
PAYTM,PAYTM Limited,,NIFTY_200,,251,2025-09-08,2026-09-08,False,True,MODEL_UNAVAILABLE
POWERGRID,POWERGRID Limited,,NIFTY_200,,249,2024-09-09,2026-09-09,False,True,MODEL_UNAVAILABLE
