symbol,universe_version,provider,equity_instrument_id,equity_data_status,signal_capable,futures_eligible,options_eligible
HDFCBANK,NIFTY_200_AUG2026,YFinanceProvider,HDFCBANK.NS,FRESH,True,True,True
HDFCLIFE,NIFTY_200_AUG2026,YFinanceProvider,HDFCLIFE.NS,FRESH,True,True,True
HEROMOTOCO,NIFTY_200_AUG2026,YFinanceProvider,HEROMOTOCO.NS,FRESH,True,True,True
HINDALCO,NIFTY_200_AUG2026,YFinanceProvider,HINDALCO.NS,FRESH,True,True,True
HINDCOPPER,NIFTY_200_AUG2026,YFinanceProvider,HINDCOPPER.NS,FRESH,True,True,True
HINDPETRO,NIFTY_200_AUG2026,YFinanceProvider,HINDPETRO.NS,FRESH,True,True,True
HINDUNILVR,NIFTY_200_AUG2026,YFinanceProvider,HINDUNILVR.NS,FRESH,True,True,True
HINDZINC,NIFTY_200_AUG2026,YFinanceProvider,HINDZINC.NS,FRESH,True,True,True
HUDCO,NIFTY_200_AUG2026,YFinanceProvider,HUDCO.NS,FRESH,True,True,True
ICICIBANK,NIFTY_200_AUG2026,YFinanceProvider,ICICIBANK.NS,FRESH,True,True,True
ICICIGI,NIFTY_200_AUG2026,YFinanceProvider,ICICIGI.NS,FRESH,True,True,True
ICICIPRULI,NIFTY_200_AUG2026,YFinanceProvider,ICICIPRULI.NS,FRESH,True,True,True
IDBI,NIFTY_200_AUG2026,YFinanceProvider,IDBI.NS,FRESH,True,True,True
IDFCFIRSTB,NIFTY_200_AUG2026,YFinanceProvider,IDFCFIRSTB.NS,FRESH,True,True,True
IGL,NIFTY_200_AUG2026,YFinanceProvider,IGL.NS,FRESH,True,True,True
INDHOTEL,NIFTY_200_AUG2026,YFinanceProvider,INDHOTEL.NS,FRESH,True,True,True
INDIAMART,NIFTY_200_AUG2026,YFinanceProvider,INDIAMART.NS,FRESH,True,True,True
INDIANB,NIFTY_200_AUG2026,YFinanceProvider,INDIANB.NS,FRESH,True,True,True
INDIGO,NIFTY_200_AUG2026,YFinanceProvider,INDIGO.NS,FRESH,True,True,True
INDUSINDBK,NIFTY_200_AUG2026,YFinanceProvider,INDUSINDBK.NS,FRESH,True,True,True
INDUSTOWER,NIFTY_200_AUG2026,YFinanceProvider,INDUSTOWER.NS,FRESH,True,True,True
INFY,NIFTY_200_AUG2026,YFinanceProvider,INFY.NS,FRESH,True,True,True
IOC,NIFTY_200_AUG2026,YFinanceProvider,IOC.NS,FRESH,True,True,True
IRB,NIFTY_200_AUG2026,YFinanceProvider,IRB.NS,FRESH,True,True,True
IRCTC,NIFTY_200_AUG2026,YFinanceProvider,IRCTC.NS,FRESH,True,True,True
IRFC,NIFTY_200_AUG2026,YFinanceProvider,IRFC.NS,FRESH,True,True,True
ITC,NIFTY_200_AUG2026,YFinanceProvider,ITC.NS,FRESH,True,True,True
JINDALSTEL,NIFTY_200_AUG2026,YFinanceProvider,JINDALSTEL.NS,FRESH,True,True,True
JSWENERGY,NIFTY_200_AUG2026,YFinanceProvider,JSWENERGY.NS,FRESH,True,True,True
JSWSTEEL,NIFTY_200_AUG2026,YFinanceProvider,JSWSTEEL.NS,FRESH,True,True,True
JUBLFOOD,NIFTY_200_AUG2026,YFinanceProvider,JUBLFOOD.NS,FRESH,True,True,True
KALYANKJIL,NIFTY_200_AUG2026,YFinanceProvider,KALYANKJIL.NS,FRESH,True,True,True
KANSAINER,NIFTY_200_AUG2026,YFinanceProvider,KANSAINER.NS,FRESH,True,True,True
KARURVYSYA,NIFTY_200_AUG2026,YFinanceProvider,KARURVYSYA.NS,FRESH,True,True,True
KEI,NIFTY_200_AUG2026,YFinanceProvider,KEI.NS,FRESH,True,True,True
KOTAKBANK,NIFTY_200_AUG2026,YFinanceProvider,KOTAKBANK.NS,FRESH,True,True,True
KPITTECH,NIFTY_200_AUG2026,YFinanceProvider,KPITTECH.NS,FRESH,True,True,True
L&TFH,NIFTY_200_AUG2026,YFinanceProvider,L&TFH.NS,FRESH,True,True,True
LICHSGFIN,NIFTY_200_AUG2026,YFinanceProvider,LICHSGFIN.NS,FRESH,True,True,True
LICI,NIFTY_200_AUG2026,YFinanceProvider,LICI.NS,FRESH,True,True,True
LT,NIFTY_200_AUG2026,YFinanceProvider,LT.NS,FRESH,True,True,True
LTIM,NIFTY_200_AUG2026,YFinanceProvider,LTIM.NS,DATA_UNAVAILABLE,False,False,False
LUPIN,NIFTY_200_AUG2026,YFinanceProvider,LUPIN.NS,FRESH,True,True,True
M&M,NIFTY_200_AUG2026,YFinanceProvider,M&M.NS,FRESH,True,True,True
M&MFIN,NIFTY_200_AUG2026,YFinanceProvider,M&MFIN.NS,FRESH,True,True,True
MAHABANK,NIFTY_200_AUG2026,YFinanceProvider,MAHABANK.NS,FRESH,True,True,True
MANAPPURAM,NIFTY_200_AUG2026,YFinanceProvider,MANAPPURAM.NS,FRESH,True,True,True
MARICO,NIFTY_200_AUG2026,YFinanceProvider,MARICO.NS,FRESH,True,True,True
MARUTI,NIFTY_200_AUG2026,YFinanceProvider,MARUTI.NS,FRESH,True,True,True
MAXHEALTH,NIFTY_200_AUG2026,YFinanceProvider,MAXHEALTH.NS,FRESH,True,True,True
MAZDOCK,NIFTY_200_AUG2026,YFinanceProvider,MAZDOCK.NS,FRESH,True,True,True
MFSL,NIFTY_200_AUG2026,YFinanceProvider,MFSL.NS,FRESH,True,True,True
MGL,NIFTY_200_AUG2026,YFinanceProvider,MGL.NS,FRESH,True,True,True
MPHASIS,NIFTY_200_AUG2026,YFinanceProvider,MPHASIS.NS,FRESH,True,True,True
MRF,NIFTY_200_AUG2026,YFinanceProvider,MRF.NS,FRESH,True,True,True
MUTHOOTFIN,NIFTY_200_AUG2026,YFinanceProvider,MUTHOOTFIN.NS,FRESH,True,True,True
NATIONALUM,NIFTY_200_AUG2026,YFinanceProvider,NATIONALUM.NS,FRESH,True,True,True
NAVINFLUOR,NIFTY_200_AUG2026,YFinanceProvider,NAVINFLUOR.NS,FRESH,True,True,True
NESTLEIND,NIFTY_200_AUG2026,YFinanceProvider,NESTLEIND.NS,FRESH,True,True,True
NHPC,NIFTY_200_AUG2026,YFinanceProvider,NHPC.NS,FRESH,True,True,True
NMDC,NIFTY_200_AUG2026,YFinanceProvider,NMDC.NS,FRESH,True,True,True
NTPC,NIFTY_200_AUG2026,YFinanceProvider,NTPC.NS,FRESH,True,True,True
NYKAA,NIFTY_200_AUG2026,YFinanceProvider,NYKAA.NS,FRESH,True,True,True
OBEROIRLTY,NIFTY_200_AUG2026,YFinanceProvider,OBEROIRLTY.NS,FRESH,True,True,True
OIL,NIFTY_200_AUG2026,YFinanceProvider,OIL.NS,FRESH,True,True,True
ONGC,NIFTY_200_AUG2026,YFinanceProvider,ONGC.NS,FRESH,True,True,True
PAGEIND,NIFTY_200_AUG2026,YFinanceProvider,PAGEIND.NS,FRESH,True,True,True
PATANJALI,NIFTY_200_AUG2026,YFinanceProvider,PATANJALI.NS,FRESH,True,True,True
PAYTM,NIFTY_200_AUG2026,YFinanceProvider,PAYTM.NS,FRESH,True,True,True
PEL,NIFTY_200_AUG2026,YFinanceProvider,PEL.NS,FRESH,True,False,False
PERSISTENT,NIFTY_200_AUG2026,YFinanceProvider,PERSISTENT.NS,FRESH,True,True,True
PETRONET,NIFTY_200_AUG2026,YFinanceProvider,PETRONET.NS,FRESH,True,True,True
PFC,NIFTY_200_AUG2026,YFinanceProvider,PFC.NS,FRESH,True,True,True
PHOENIXLTD,NIFTY_200_AUG2026,YFinanceProvider,PHOENIXLTD.NS,FRESH,True,True,True
PIDILITIND,NIFTY_200_AUG2026,YFinanceProvider,PIDILITIND.NS,FRESH,True,True,True
PIIND,NIFTY_200_AUG2026,YFinanceProvider,PIIND.NS,FRESH,True,True,True
PNB,NIFTY_200_AUG2026,YFinanceProvider,PNB.NS,FRESH,True,True,True
POLYCAB,NIFTY_200_AUG2026,YFinanceProvider,POLYCAB.NS,FRESH,True,True,True
POONAWALLA,NIFTY_200_AUG2026,YFinanceProvider,POONAWALLA.NS,FRESH,True,True,True
POWERGRID,NIFTY_200_AUG2026,YFinanceProvider,POWERGRID.NS,FRESH,True,True,True
PRESTIGE,NIFTY_200_AUG2026,YFinanceProvider,PRESTIGE.NS,FRESH,True,True,True
PVRINOX,NIFTY_200_AUG2026,YFinanceProvider,PVRINOX.NS,FRESH,True,True,True
RADICO,NIFTY_200_AUG2026,YFinanceProvider,RADICO.NS,FRESH,True,True,True
RECLTD,NIFTY_200_AUG2026,YFinanceProvider,RECLTD.NS,FRESH,True,True,True
RELIANCE,NIFTY_200_AUG2026,YFinanceProvider,RELIANCE.NS,FRESH,True,True,True
RVNL,NIFTY_200_AUG2026,YFinanceProvider,RVNL.NS,FRESH,True,True,True
SAIL,NIFTY_200_AUG2026,YFinanceProvider,SAIL.NS,FRESH,True,True,True
SBICARD,NIFTY_200_AUG2026,YFinanceProvider,SBICARD.NS,FRESH,True,True,True
SBILIFE,NIFTY_200_AUG2026,YFinanceProvider,SBILIFE.NS,FRESH,True,True,True
SBIN,NIFTY_200_AUG2026,YFinanceProvider,SBIN.NS,FRESH,True,True,True
SHREECEM,NIFTY_200_AUG2026,YFinanceProvider,SHREECEM.NS,FRESH,True,True,True
SHRIRAMFIN,NIFTY_200_AUG2026,YFinanceProvider,SHRIRAMFIN.NS,FRESH,True,True,True
SIEMENS,NIFTY_200_AUG2026,YFinanceProvider,SIEMENS.NS,FRESH,True,True,True
SJVN,NIFTY_200_AUG2026,YFinanceProvider,SJVN.NS,FRESH,True,True,True
SKFINDIA,NIFTY_200_AUG2026,YFinanceProvider,SKFINDIA.NS,FRESH,True,True,True
SONACOMS,NIFTY_200_AUG2026,YFinanceProvider,SONACOMS.NS,FRESH,True,True,True
SRF,NIFTY_200_AUG2026,YFinanceProvider,SRF.NS,FRESH,True,True,True
SUNPHARMA,NIFTY_200_AUG2026,YFinanceProvider,SUNPHARMA.NS,FRESH,True,True,True
SUNTV,NIFTY_200_AUG2026,YFinanceProvider,SUNTV.NS,FRESH,True,True,True
SUPREMEIND,NIFTY_200_AUG2026,YFinanceProvider,SUPREMEIND.NS,FRESH,True,True,True
SUZLON,NIFTY_200_AUG2026,YFinanceProvider,SUZLON.NS,FRESH,True,True,True
SYNGENE,NIFTY_200_AUG2026,YFinanceProvider,SYNGENE.NS,FRESH,True,True,True
TATACOMM,NIFTY_200_AUG2026,YFinanceProvider,TATACOMM.NS,FRESH,True,True,True
TATACONSUM,NIFTY_200_AUG2026,YFinanceProvider,TATACONSUM.NS,FRESH,True,True,True
TATAELXSI,NIFTY_200_AUG2026,YFinanceProvider,TATAELXSI.NS,FRESH,True,True,True
TATAMOTORS,NIFTY_200_AUG2026,YFinanceProvider,TATAMOTORS.NS,FRESH,True,False,False
TATAPOWER,NIFTY_200_AUG2026,YFinanceProvider,TATAPOWER.NS,FRESH,True,True,True
TATASTEEL,NIFTY_200_AUG2026,YFinanceProvider,TATASTEEL.NS,FRESH,True,True,True
TCS,NIFTY_200_AUG2026,YFinanceProvider,TCS.NS,FRESH,True,True,True
TECHM,NIFTY_200_AUG2026,YFinanceProvider,TECHM.NS,FRESH,True,True,True
TIINDIA,NIFTY_200_AUG2026,YFinanceProvider,TIINDIA.NS,FRESH,True,True,True
TITAN,NIFTY_200_AUG2026,YFinanceProvider,TITAN.NS,FRESH,True,True,True
TORNTPHARM,NIFTY_200_AUG2026,YFinanceProvider,TORNTPHARM.NS,FRESH,True,True,True
TORNTPOWER,NIFTY_200_AUG2026,YFinanceProvider,TORNTPOWER.NS,FRESH,True,True,True
TRENT,NIFTY_200_AUG2026,YFinanceProvider,TRENT.NS,FRESH,True,True,True
TRIDENT,NIFTY_200_AUG2026,YFinanceProvider,TRIDENT.NS,FRESH,True,True,True
UBL,NIFTY_200_AUG2026,YFinanceProvider,UBL.NS,FRESH,True,True,True
UCOBANK,NIFTY_200_AUG2026,YFinanceProvider,UCOBANK.NS,FRESH,True,True,True
ULTRACEMCO,NIFTY_200_AUG2026,YFinanceProvider,ULTRACEMCO.NS,FRESH,True,True,True
UNIONBANK,NIFTY_200_AUG2026,YFinanceProvider,UNIONBANK.NS,FRESH,True,True,True
UNITDSPR,NIFTY_200_AUG2026,YFinanceProvider,UNITDSPR.NS,FRESH,True,True,True
VBL,NIFTY_200_AUG2026,YFinanceProvider,VBL.NS,FRESH,True,True,True
VEDL,NIFTY_200_AUG2026,YFinanceProvider,VEDL.NS,FRESH,True,True,True
VOLTAS,NIFTY_200_AUG2026,YFinanceProvider,VOLTAS.NS,FRESH,True,True,True
WHIRLPOOL,NIFTY_200_AUG2026,YFinanceProvider,WHIRLPOOL.NS,FRESH,True,True,True
WIPRO,NIFTY_200_AUG2026,YFinanceProvider,WIPRO.NS,FRESH,True,True,True
YESBANK,NIFTY_200_AUG2026,YFinanceProvider,YESBANK.NS,FRESH,True,True,True
ZOMATO,NIFTY_200_AUG2026,YFinanceProvider,ZOMATO.NS,FRESH,True,True,True
ZYDUSLIFE,NIFTY_200_AUG2026,YFinanceProvider,ZYDUSLIFE.NS,FRESH,True,True,True
