symbol,first_date,last_date,candle_count,expected_start,eligible
TORNTPHARM,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TORNTPOWER,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TRENT,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TRIDENT,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
UBL,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
UCOBANK,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
ULTRACEMCO,2016-08-08 00:00:00.000000,2026-08-18 00:00:00.000000,2482,2020-01-01,True
UNIONBANK,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
UNITDSPR,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
VBL,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
VEDL,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
VOLTAS,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
WHIRLPOOL,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
WIPRO,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
YESBANK,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
ZOMATO,2021-07-23 00:00:00.000000,2026-08-18 00:00:00.000000,1256,2020-01-01,True
ZYDUSLIFE,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
