symbol,signal_date,direction,probability,entry,target,stop,exit,outcome,holding_period,exit_date,exit_reason,profit_pct
ICICIBANK,2020-05-26T00:00:00,SHORT,0.7065,280.7291564941406,272.3072817993164,289.15103118896485,584.5245971679688,EXPIRED,1,2021-03-05T00:00:00+00:00,EXPIRED,-108.2165616381813
ICICIBANK,2020-09-24T00:00:00,SHORT,0.6985,321.9704895019531,312.3113748168945,331.62960418701175,637.17919921875,EXPIRED,1,2021-07-14T00:00:00+00:00,EXPIRED,-97.8998759185614
ICICIBANK,2020-09-25T00:00:00,SHORT,0.65675,334.3908386230469,324.35911346435546,344.4225637817383,640.1525268554688,EXPIRED,1,2021-07-15T00:00:00+00:00,EXPIRED,-91.4384166418811
ICICIBANK,2020-09-30T00:00:00,SHORT,0.648,340.2413635253906,330.0341226196289,350.4486044311524,615.6474609375,EXPIRED,1,2021-07-20T00:00:00+00:00,EXPIRED,-80.94433156465914
ICICIBANK,2020-10-05T00:00:00,SHORT,0.67725,357.84088134765625,347.10565490722655,368.57610778808595,648.9762573242188,EXPIRED,1,2021-07-23T00:00:00+00:00,EXPIRED,-81.35889194105613
ICICIBANK,2022-03-09T00:00:00,SHORT,0.669,642.0269775390625,622.7661682128906,661.2877868652344,869.898193359375,EXPIRED,1,2022-12-28T00:00:00+00:00,EXPIRED,-35.492467418387925
ICICIBANK,2023-03-20T00:00:00,SHORT,0.58,809.4180908203125,785.1355480957031,833.7006335449219,967.0133666992188,EXPIRED,1,2024-01-11T00:00:00+00:00,EXPIRED,-19.470194410800705
ICICIBANK,2025-02-28T00:00:00,SHORT,0.61725,1184.8909912109375,1149.3442614746093,1220.4377209472657,1357.059326171875,EXPIRED,1,2025-12-22T00:00:00+00:00,EXPIRED,-14.530310065484128
IDBI,2021-01-29T00:00:00,SHORT,0.7224999999999999,27.75,26.9175,28.5825,48.75,EXPIRED,1,2021-11-23T00:00:00+00:00,EXPIRED,-75.67567567567568
IDBI,2021-11-02T00:00:00,LONG,0.59975,56.95000076293945,58.65850078582764,55.241500740051265,39.0,EXPIRED,1,2022-08-23T00:00:00+00:00,EXPIRED,-31.518877124617216
IDFCFIRSTB,2022-06-23T00:00:00,SHORT,0.62425,29.75,28.857499999999998,30.642500000000002,55.150001525878906,EXPIRED,1,2023-04-18T00:00:00+00:00,EXPIRED,-85.37815638950893
IDFCFIRSTB,2022-07-27T00:00:00,SHORT,0.5902499999999999,35.75,34.6775,36.8225,66.4000015258789,EXPIRED,1,2023-05-23T00:00:00+00:00,EXPIRED,-85.73427000245847
IDFCFIRSTB,2022-07-28T00:00:00,SHORT,0.55225,36.599998474121094,35.50199851989746,37.697998428344725,66.05000305175781,EXPIRED,1,2023-05-24T00:00:00+00:00,EXPIRED,-80.46449673614072
IDFCFIRSTB,2022-07-29T00:00:00,SHORT,0.5525,37.54999923706055,36.42349925994873,38.67649921417237,66.0,EXPIRED,1,2023-05-25T00:00:00+00:00,EXPIRED,-75.76564937679223
IDFCFIRSTB,2024-04-29T00:00:00,LONG,0.6174999999999999,84.80000305175781,87.34400314331054,82.25600296020508,62.15999984741211,EXPIRED,1,2025-02-13T00:00:00+00:00,EXPIRED,-26.698116025452666
IDFCFIRSTB,2025-04-11T00:00:00,SHORT,0.5575,59.25,57.4725,61.0275,83.47000122070312,EXPIRED,1,2026-01-30T00:00:00+00:00,EXPIRED,-40.877639191060126
IDFCFIRSTB,2025-04-15T00:00:00,SHORT,0.6825,59.91999816894531,58.12239822387695,61.717598114013676,83.58000183105469,EXPIRED,1,2026-02-02T00:00:00+00:00,EXPIRED,-39.4859886267013
IDFCFIRSTB,2025-04-21T00:00:00,SHORT,0.5325,63.0,61.11,64.89,85.13999938964844,EXPIRED,1,2026-02-05T00:00:00+00:00,EXPIRED,-35.14285617404514
INDHOTEL,2024-12-31T00:00:00,LONG,0.616,889.6500244140625,916.3395251464844,862.9605236816406,735.4000244140625,EXPIRED,1,2025-10-20T00:00:00+00:00,EXPIRED,-17.33827862271925
INDUSINDBK,2020-10-30T00:00:00,SHORT,0.69775,585.7000122070312,568.1290118408203,603.2710125732422,988.5999755859375,EXPIRED,1,2021-08-23T00:00:00+00:00,EXPIRED,-68.78947498407948
INDUSINDBK,2020-11-03T00:00:00,SHORT,0.5265,646.5999755859375,627.2019763183594,665.9979748535156,1005.5499877929688,EXPIRED,1,2021-08-25T00:00:00+00:00,EXPIRED,-55.51345897929505
