date,equity,cash,pos_count,equity_delta,exit_date,pnl,cum_realized,expected_equity,diff
2021-09-13,1662294.473920178,9757.518208812951,10,-10954.4014159902,2021-09-13 00:00:00,689.4050105671158,1074001.7610047902,2074001.7610047902,-411707.2870846123
2021-09-14,1678959.5540719775,12513.248159959738,10,16665.0801517996,2021-09-14 00:00:00,4417.198430204315,1078418.9594349945,2078418.9594349945,-399459.405363017
2021-09-15,1686026.149438218,12819.024218872655,10,7066.595366240479,2021-09-15 00:00:00,5933.918423023261,1084352.8778580178,2084352.8778580178,-398326.7284197998
2021-09-16,1683479.6942969454,7511.566114534013,10,-2546.4551412726287,2021-09-16 00:00:00,-3822.5039613425815,1080530.3738966752,2080530.3738966752,-397050.67959972983
2021-09-17,1658659.9159633894,20624.58703825643,10,-24819.778333555907,2021-09-17 00:00:00,7869.874142632153,1088400.2480393073,2088400.2480393073,-429740.33207591786
2021-09-20,1605761.2571515348,13630.342142989946,10,-52898.658811854664,2021-09-20 00:00:00,-20527.78353744251,1067872.4645018647,2067872.4645018647,-462111.20735032996
2021-09-21,1655110.3392187231,8437.90262280617,10,49349.08206718834,2021-09-21 00:00:00,2821.135035665363,1070693.5995375302,2070693.5995375302,-415583.2603188071
2021-09-22,1654813.2104492702,84.38422971134423,10,-297.12876945291646,2021-09-22 00:00:00,-1509.9237469078748,1069183.6757906224,2069183.6757906224,-414370.46534135216
2021-09-23,1666398.037587494,30.017361968930345,10,11584.827138223685,2021-09-23 00:00:00,-583.9820782302122,1068599.6937123921,2068599.6937123921,-402201.65612489823
2021-09-24,1656930.7379971675,3993.14949619089,10,-9467.29959032638,2021-09-24 00:00:00,6833.81016908273,1075433.503881475,2075433.503881475,-418502.76588430745
2021-09-27,1668393.3090652165,352.4530776675383,10,11462.571068048943,2021-09-27 00:00:00,5843.176712346289,1081276.6805938212,2081276.6805938212,-412883.37152860477
2021-09-28,1675701.5113050635,2476.2805349524715,10,7308.2022398470435,2021-09-28 00:00:00,1433.5954667644432,1082710.2760605856,2082710.2760605856,-407008.76475552213
2021-09-29,1714181.0834903405,28.93586155603407,10,38479.57218527701,2021-09-29 00:00:00,16059.312892002505,1098769.5889525882,2098769.588952588,-384588.5054622474
2021-09-30,1706926.6300761667,137.5292842356139,10,-7254.453414173797,2021-09-30 00:00:00,19265.03984495189,1118034.62879754,2118034.62879754,-411107.99872137327
2021-10-01,1721358.6039778353,7160.07886568323,10,14431.973901668563,2021-10-01 00:00:00,3855.095840754268,1121889.7246382942,2121889.7246382944,-400531.12066045916
2021-10-04,1710555.3198512956,12629.069599525536,10,-10803.284126539715,2021-10-04 00:00:00,9697.647231961599,1131587.3718702558,2131587.371870256,-421032.0520189605
2021-10-05,1718120.4755575545,9163.380365598918,10,7565.155706258956,2021-10-05 00:00:00,-2813.6854851109865,1128773.6863851447,2128773.6863851445,-410653.21082758997
2021-10-06,1695838.399150727,25835.358129380533,10,-22282.07640682743,2021-10-06 00:00:00,17474.74463138036,1146248.431016525,2146248.4310165253,-450410.03186579817
2021-10-07,1701183.3905663325,797.5065512491565,10,5344.991415605415,2021-10-07 00:00:00,-13972.708309097034,1132275.722707428,2132275.722707428,-431092.33214109554
2021-10-08,1724984.7165844266,1083.0045902554411,10,23801.326018094085,2021-10-08 00:00:00,-983.8668501513748,1131291.8558572766,2131291.8558572764,-406307.1392728498
2021-10-11,1765912.6253081893,61.32757869712077,10,40927.908723762725,2021-10-11 00:00:00,3659.7567942375017,1134951.6126515141,2134951.612651514,-369038.9873433246
2021-10-12,1805314.4542659528,12085.520172477554,10,39401.8289577635,2021-10-12 00:00:00,30176.46452903695,1165128.0771805511,2165128.0771805514,-359813.62291459856
