symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
IOC,2020-11-04T00:00:00,SHORT,51.96666717529297,53.52566719055176,70.4000015258789,-35.47145767190912,2020-11-06T00:00:00,NO,200,0,0.0
IOC,2021-05-04T00:00:00,SHORT,60.93333435058594,62.76133438110352,80.76666259765625,-32.549225245014995,2021-05-07T00:00:00,NO,200,0,0.0
IOC,2021-11-10T00:00:00,LONG,92.96666717529297,90.17766716003418,71.5,-23.090713938165138,2021-11-11T00:00:00,NO,200,0,0.0
IOC,2022-04-22T00:00:00,LONG,89.56666564941406,86.87966567993163,79.25,-11.518421027077224,2022-04-25T00:00:00,NO,200,0,0.0
IOC,2022-10-17T00:00:00,SHORT,66.05000305175781,68.03150314331054,92.8499984741211,-40.575312920670704,2022-10-20T00:00:00,NO,200,0,0.0
IOC,2023-10-27T00:00:00,SHORT,86.19999694824219,88.78599685668945,173.7899932861328,-101.61252835134442,2023-11-01T00:00:00,NO,200,0,0.0
IOC,2024-10-03T00:00:00,LONG,179.05999755859375,173.68819763183592,151.97999572753906,-15.123423545336143,2024-10-04T00:00:00,NO,200,0,0.0
IOC,2025-04-15T00:00:00,SHORT,131.8300018310547,135.78490188598633,163.24000549316406,-23.82614217237327,2025-04-22T00:00:00,NO,200,0,0.0
IOC,2025-04-30T00:00:00,SHORT,135.77999877929688,139.85339874267578,176.77000427246094,-30.18854460279612,2025-05-02T00:00:00,NO,200,0,0.0
IRB,2021-04-19T00:00:00,SHORT,5.09499979019165,5.2478497838974,14.907500267028809,-192.59079255954313,2021-04-22T00:00:00,NO,200,0,0.0
IRB,2022-06-22T00:00:00,SHORT,9.302499771118164,9.581574764251709,13.324999809265137,-43.24106570403566,2022-06-23T00:00:00,NO,200,0,0.0
IRB,2022-09-28T00:00:00,SHORT,9.982500076293945,10.281975078582764,13.050000190734863,-30.728776268436985,2022-09-29T00:00:00,NO,200,0,0.0
IRB,2023-03-29T00:00:00,SHORT,11.324999809265137,11.66474980354309,23.625,-108.60927503656173,2023-03-31T00:00:00,NO,200,0,0.0
IRB,2023-03-31T00:00:00,SHORT,12.100000381469727,12.463000392913818,23.950000762939453,-97.93388436265789,2023-04-03T00:00:00,NO,200,0,0.0
IRB,2023-08-23T00:00:00,SHORT,13.149999618530273,13.544499607086182,32.244998931884766,-145.20912446603302,2023-08-24T00:00:00,NO,200,0,0.0
IRB,2024-06-10T00:00:00,LONG,38.42499923706055,37.27224925994873,22.610000610351562,-41.15809743843942,2024-06-11T00:00:00,NO,200,0,0.0
IRB,2024-09-30T00:00:00,LONG,31.454999923706055,30.51134992599487,24.030000686645508,-23.60514784635144,2024-10-01T00:00:00,NO,200,0,0.0
IRCTC,2021-10-19T00:00:00,LONG,1090.969970703125,1058.2408715820313,642.3499755859375,-41.121204722807725,2021-10-20T00:00:00,NO,200,0,0.0
IRFC,2023-03-31T00:00:00,SHORT,26.350000381469727,27.140500392913818,161.3000030517578,-512.1442152433129,2023-04-03T00:00:00,NO,200,1,25.08818712065375
IRFC,2023-04-03T00:00:00,SHORT,26.600000381469727,27.39800039291382,171.89999389648438,-546.2405692904971,2023-04-05T00:00:00,NO,200,1,25.08818712065375
IRFC,2024-07-18T00:00:00,LONG,212.11000061035156,205.746700592041,118.94000244140625,-43.9253207773544,2024-07-19T00:00:00,NO,200,0,0.0
IRFC,2024-08-05T00:00:00,LONG,192.3300018310547,186.56010177612305,140.17999267578125,-27.11485917890373,2024-08-06T00:00:00,NO,200,0,0.0
IRFC,2024-09-04T00:00:00,LONG,178.4600067138672,173.10620651245117,138.6199951171875,-22.32433604048718,2024-09-06T00:00:00,NO,200,0,0.0
ITC,2017-07-28T00:00:00,LONG,198.7108154296875,192.74949096679686,192.4403839111328,-3.1555562312980583,2017-08-03T00:00:00,NO,200,0,0.0
ITC,2018-10-11T00:00:00,SHORT,184.3385772705078,189.86873458862306,183.54241943359375,0.4318997405224301,2018-10-12T00:00:00,2019-08-05T00:00:00,200,0,0.0
ITC,2019-11-07T00:00:00,LONG,188.46946716308594,182.81538314819335,145.07809448242188,-23.023025073401808,2019-11-13T00:00:00,NO,200,0,0.0
ITC,2020-05-18T00:00:00,SHORT,116.79647827148438,120.3003726196289,155.9990234375,-33.56483495580436,2020-05-19T00:00:00,NO,200,2,28.927987544972034
ITC,2020-11-04T00:00:00,SHORT,126.81732177734375,130.62184143066406,162.517333984375,-28.150738169436057,2020-11-05T00:00:00,NO,200,2,28.927987544972034
ITC,2024-03-12T00:00:00,SHORT,352.4593200683594,363.03309967041014,427.42791748046875,-21.270141869867206,2024-03-13T00:00:00,NO,200,0,0.0
JSWSTEEL,2020-04-03T00:00:00,SHORT,131.0418243408203,134.97307907104494,372.1561584472656,-183.99799859268043,2020-04-07T00:00:00,NO,200,0,0.0
JSWSTEEL,2020-07-27T00:00:00,SHORT,194.7843017578125,200.62783081054687,665.5326538085938,-241.6767407858628,2020-07-28T00:00:00,NO,200,0,0.0
KALYANKJIL,2025-01-10T00:00:00,LONG,662.5499877929688,642.6734881591797,512.9000244140625,-22.586969456811513,2025-01-13T00:00:00,NO,200,0,0.0
KALYANKJIL,2025-01-13T00:00:00,LONG,626.75,607.9475,509.70001220703125,-18.67570606987934,2025-01-14T00:00:00,NO,200,0,0.0
KOTAKBANK,2018-11-01T00:00:00,SHORT,220.487060546875,227.10167236328127,294.9862060546875,-33.78844333224451,2018-11-02T00:00:00,NO,200,0,0.0
KOTAKBANK,2018-11-14T00:00:00,SHORT,224.5309600830078,231.26688888549805,293.30615234375,-30.630605345167716,2018-11-15T00:00:00,NO,200,0,0.0
KOTAKBANK,2020-05-18T00:00:00,SHORT,221.4210968017578,228.06372970581054,353.97747802734375,-59.8661930323044,2020-05-19T00:00:00,NO,200,0,0.0
