symbol,signal_date,direction,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,outcome,bars_to_entry,bars_in_position,bars_to_expiry,profit_pct
BANKBARODA,2025-05-12T00:00:00,SHORT,220.08999633789065,227.0,FAVORABLE_GAP,213.4872964477539,226.69269622802736,2025-05-13T00:00:00+00:00,2025-05-13T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
BANKINDIA,2023-02-28T00:00:00,SHORT,66.9000015258789,67.6500015258789,FAVORABLE_GAP,64.89300148010254,68.90700157165527,2023-03-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,STOP_LOSS,1,1,200,-1.8580931521420756
BANKINDIA,2023-03-28T00:00:00,SHORT,69.05000305175781,69.44999694824219,FAVORABLE_GAP,66.97850296020508,71.12150314331055,2023-03-29T00:00:00+00:00,2023-03-29T00:00:00+00:00,STOP_LOSS,1,1,200,-2.4067764845462203
BANKINDIA,2024-05-13T00:00:00,LONG,138.75,128.0,FAVORABLE_GAP,142.9125,134.5875,2024-05-14T00:00:00+00:00,2024-05-14T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
BEL,2020-11-04T00:00:00,SHORT,29.63333320617676,29.799999237060547,FAVORABLE_GAP,28.744333209991453,30.522333202362063,2020-11-05T00:00:00+00:00,2020-11-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.4239395429352584
BEL,2022-02-24T00:00:00,SHORT,62.61666488647461,64.28333282470703,FAVORABLE_GAP,60.73816493988037,64.49516483306886,2022-02-25T00:00:00+00:00,2022-02-25T00:00:00+00:00,STOP_LOSS,1,1,200,-0.3295286648243098
BEL,2023-03-31T00:00:00,SHORT,91.5500030517578,94.25,FAVORABLE_GAP,88.80350296020508,94.29650314331056,2023-04-03T00:00:00+00:00,2023-04-03T00:00:00+00:00,STOP_LOSS,1,1,200,-0.04934020510404179
BEL,2025-04-08T00:00:00,SHORT,272.1000061035156,282.45001220703125,FAVORABLE_GAP,263.9370059204102,280.2630062866211,2025-04-09T00:00:00+00:00,2025-04-09T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
BHARTIARTL,2020-10-30T00:00:00,SHORT,410.94537353515625,412.1297166002969,FAVORABLE_GAP,398.6170123291016,423.2737347412109,2020-11-02T00:00:00+00:00,2020-11-02T00:00:00+00:00,STOP_LOSS,1,1,200,-2.7040074258275344
BHARTIARTL,2020-11-06T00:00:00,SHORT,426.2463073730469,432.3098180972382,FAVORABLE_GAP,413.4589181518554,439.0336965942383,2020-11-09T00:00:00+00:00,2020-11-09T00:00:00+00:00,STOP_LOSS,1,1,200,-1.5553379117306372
