symbol,model_path,model_version,strategy_version,feature_count,load_status,inference_status,error
NESTLEIND,backend/ml/registry/NESTLEIND_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NHPC,backend/ml/registry/NHPC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NMDC,backend/ml/registry/NMDC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NTPC,backend/ml/registry/NTPC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NYKAA,backend/ml/registry/NYKAA_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
OBEROIRLTY,backend/ml/registry/OBEROIRLTY_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
OIL,backend/ml/registry/OIL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
ONGC,backend/ml/registry/ONGC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PAGEIND,backend/ml/registry/PAGEIND_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PATANJALI,backend/ml/registry/PATANJALI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PAYTM,backend/ml/registry/PAYTM_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PEL,,,v2.2,0,FAILED,FAILED,NO_CHAMPION_IN_REGISTRY
PERSISTENT,backend/ml/registry/PERSISTENT_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PETRONET,backend/ml/registry/PETRONET_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PFC,backend/ml/registry/PFC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PHOENIXLTD,backend/ml/registry/PHOENIXLTD_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PIDILITIND,backend/ml/registry/PIDILITIND_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PIIND,backend/ml/registry/PIIND_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PNB,backend/ml/registry/PNB_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
POLYCAB,backend/ml/registry/POLYCAB_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
POONAWALLA,backend/ml/registry/POONAWALLA_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
POWERGRID,backend/ml/registry/POWERGRID_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PRESTIGE,backend/ml/registry/PRESTIGE_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
PVRINOX,backend/ml/registry/PVRINOX_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
RADICO,backend/ml/registry/RADICO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
RECLTD,backend/ml/registry/RECLTD_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
RELIANCE,backend/ml/registry/RELIANCE_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
RVNL,backend/ml/registry/RVNL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SAIL,backend/ml/registry/SAIL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SBICARD,backend/ml/registry/SBICARD_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SBILIFE,backend/ml/registry/SBILIFE_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SBIN,backend/ml/registry/SBIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SHREECEM,backend/ml/registry/SHREECEM_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SHRIRAMFIN,backend/ml/registry/SHRIRAMFIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
SIEMENS,backend/ml/registry/SIEMENS_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SJVN,backend/ml/registry/SJVN_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SKFINDIA,backend/ml/registry/SKFINDIA_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SONACOMS,backend/ml/registry/SONACOMS_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SRF,backend/ml/registry/SRF_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SUNPHARMA,backend/ml/registry/SUNPHARMA_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SUNTV,backend/ml/registry/SUNTV_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SUPREMEIND,backend/ml/registry/SUPREMEIND_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SUZLON,backend/ml/registry/SUZLON_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
SYNGENE,backend/ml/registry/SYNGENE_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TATACOMM,backend/ml/registry/TATACOMM_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TATACONSUM,backend/ml/registry/TATACONSUM_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TATAELXSI,backend/ml/registry/TATAELXSI_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TATAMOTORS,,,v2.2,0,FAILED,FAILED,NO_CHAMPION_IN_REGISTRY
TATAPOWER,backend/ml/registry/TATAPOWER_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TATASTEEL,backend/ml/registry/TATASTEEL_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TCS,backend/ml/registry/TCS_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TECHM,backend/ml/registry/TECHM_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TIINDIA,backend/ml/registry/TIINDIA_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TITAN,backend/ml/registry/TITAN_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TORNTPHARM,backend/ml/registry/TORNTPHARM_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TORNTPOWER,backend/ml/registry/TORNTPOWER_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TRENT,backend/ml/registry/TRENT_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
TRIDENT,backend/ml/registry/TRIDENT_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
UBL,backend/ml/registry/UBL_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
UCOBANK,backend/ml/registry/UCOBANK_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
ULTRACEMCO,backend/ml/registry/ULTRACEMCO_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
UNIONBANK,backend/ml/registry/UNIONBANK_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
UNITDSPR,backend/ml/registry/UNITDSPR_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
VBL,backend/ml/registry/VBL_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
VEDL,backend/ml/registry/VEDL_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
VOLTAS,backend/ml/registry/VOLTAS_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
WHIRLPOOL,backend/ml/registry/WHIRLPOOL_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
WIPRO,backend/ml/registry/WIPRO_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
YESBANK,backend/ml/registry/YESBANK_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
ZOMATO,backend/ml/registry/ZOMATO_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
ZYDUSLIFE,backend/ml/registry/ZYDUSLIFE_rf_202608180607.joblib,202608180607,v2.2,11,PASSED,PASSED,
