symbol,total_pnl,trade_count,avg_pnl,net_pnl
ADANIENT,93085.05896775081,119,782.2273862836203,93085.05896775081
SUNTV,88506.63849280741,4,22126.659623201853,88506.63849280741
ADANIPORTS,79237.1747265564,26,3047.5836433290924,79237.1747265564
TATAPOWER,70699.4685587947,73,968.4858706684206,70699.4685587947
DLF,66168.99714086093,24,2757.041547535872,66168.99714086093
ADANIENSOL,64384.729744940705,6,10730.788290823451,64384.729744940705
CHAMBLFERT,63591.555519920206,3,21197.185173306734,63591.555519920206
SUNPHARMA,56414.006729463596,80,705.175084118295,56414.006729463596
TRIDENT,44567.71221020277,60,742.7952035033795,44567.71221020277
TCS,43836.17498461242,10,4383.617498461243,43836.17498461242
CONCOR,42091.216837110405,2,21045.608418555203,42091.216837110405
BAJAJFINSV,40845.35118423323,4,10211.337796058308,40845.35118423323
SAIL,40744.76256125911,110,370.4069323750828,40744.76256125911
NTPC,35658.0980310535,57,625.580667211465,35658.0980310535
VOLTAS,34993.28639074358,1,34993.28639074358,34993.28639074358
OIL,34083.3628814066,16,2130.2101800879127,34083.3628814066
INDIANB,33960.87237634581,8,4245.109047043226,33960.87237634581
APOLLOTYRE,24208.88979096099,9,2689.87664344011,24208.88979096099
COALINDIA,22255.286111174435,49,454.1895124729476,22255.286111174435
HCLTECH,18188.757867833086,3,6062.9192892776955,18188.757867833086
POONAWALLA,15180.763020633043,8,1897.5953775791304,15180.763020633043
JSWSTEEL,11735.057654192511,71,165.2825021717255,11735.057654192511
SONACOMS,11009.65338203717,1,11009.65338203717,11009.65338203717
PRESTIGE,10229.264223743958,1,10229.264223743958,10229.264223743958
DABUR,9256.599619700504,3,3085.533206566835,9256.599619700504
ZYDUSLIFE,7668.664713823686,5,1533.7329427647371,7668.664713823686
INDHOTEL,7505.566003952193,10,750.5566003952192,7505.566003952193
GLENMARK,5368.134236283002,1,5368.134236283002,5368.134236283002
PATANJALI,4847.658336865294,5,969.5316673730588,4847.658336865294
TITAN,3973.806081960751,9,441.5340091067501,3973.806081960751
SIEMENS,3118.55819659579,1,3118.55819659579,3118.55819659579
CIPLA,3003.236745198546,1,3003.236745198546,3003.236745198546
HDFCLIFE,1770.16812994652,4,442.54203248663,1770.16812994652
TATACONSUM,-6.017596506615519,2,-3.0087982533077593,-6.017596506615519
CHOLAFIN,-684.2191115705398,1,-684.2191115705398,-684.2191115705398
SBILIFE,-1412.591404358521,1,-1412.591404358521,-1412.591404358521
CANFINHOME,-2597.958866254066,1,-2597.958866254066,-2597.958866254066
AUROPHARMA,-2804.9862681007658,1,-2804.9862681007658,-2804.9862681007658
BIOCON,-3218.0369661019286,10,-321.80369661019284,-3218.0369661019286
LT,-3285.4247490893677,10,-328.54247490893675,-3285.4247490893677
ASIANPAINT,-3623.466115406061,1,-3623.466115406061,-3623.466115406061
BANKBARODA,-4493.3197740797405,98,-45.850201776323885,-4493.3197740797405
KPITTECH,-6612.114909852502,2,-3306.057454926251,-6612.114909852502
MAXHEALTH,-8020.058077255428,1,-8020.058077255428,-8020.058077255428
ADANIGREEN,-8655.278577676261,5,-1731.0557155352521,-8655.278577676261
RELIANCE,-23099.70090317668,242,-95.453309517259,-23099.70090317668
