window_id,symbol,training_start,training_end,training_sample_count,validation_sample_count,model_version
W1,CANBK,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CANBK,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CANBK,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CANBK,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CANBK,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CANFINHOME,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CANFINHOME,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CANFINHOME,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CANFINHOME,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CANFINHOME,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CGPOWER,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CGPOWER,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CGPOWER,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CGPOWER,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CGPOWER,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CHAMBLFERT,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CHAMBLFERT,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CHAMBLFERT,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CHAMBLFERT,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CHAMBLFERT,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CHOLAFIN,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CHOLAFIN,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CHOLAFIN,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CHOLAFIN,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CHOLAFIN,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CIPLA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CIPLA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CIPLA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CIPLA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CIPLA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,COALINDIA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,COALINDIA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,COALINDIA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,COALINDIA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,COALINDIA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,COFORGE,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,COFORGE,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,COFORGE,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,COFORGE,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,COFORGE,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,COLPAL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,COLPAL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,COLPAL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,COLPAL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,COLPAL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CONCOR,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CONCOR,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CONCOR,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CONCOR,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CONCOR,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,COROMANDEL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,COROMANDEL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,COROMANDEL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,COROMANDEL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,COROMANDEL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CROMPTON,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CROMPTON,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CROMPTON,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CROMPTON,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CROMPTON,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,CUMMINSIND,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,CUMMINSIND,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,CUMMINSIND,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,CUMMINSIND,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,CUMMINSIND,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,DABUR,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DABUR,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DABUR,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DABUR,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DABUR,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,DALBHARAT,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DALBHARAT,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DALBHARAT,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DALBHARAT,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DALBHARAT,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,DEEPAKNTR,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DEEPAKNTR,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DEEPAKNTR,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DEEPAKNTR,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DEEPAKNTR,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W3,DELHIVERY,2022-05-24T00:00:00,2023-06-01T00:00:00,189,64,WF_W3_20260821
W4,DELHIVERY,2022-05-24T00:00:00,2024-06-01T00:00:00,373,125,WF_W4_20260821
W5,DELHIVERY,2022-05-24T00:00:00,2025-06-01T00:00:00,558,187,WF_W5_20260821
W1,DIVISLAB,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DIVISLAB,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DIVISLAB,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DIVISLAB,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DIVISLAB,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,DIXON,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DIXON,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DIXON,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DIXON,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DIXON,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,DLF,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,DLF,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,DLF,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,DLF,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,DLF,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
